userId,title,rating,genres
28,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy
28,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),5.0,Mystery|Sci-Fi|Thriller
28,Seven (a.k.a. Se7en) (1995),4.0,Mystery|Thriller
28,"Usual Suspects, The (1995)",5.0,Crime|Mystery|Thriller
28,Braveheart (1995),5.0,Action|Drama|War
28,Apollo 13 (1995),4.0,Adventure|Drama|IMAX
28,Star Wars: Episode IV - A New Hope (1977),5.0,Action|Adventure|Sci-Fi
28,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),5.0,Action|Crime|Drama|Thriller
28,Pulp Fiction (1994),5.0,Comedy|Crime|Drama|Thriller
28,"Shawshank Redemption, The (1994)",5.0,Crime|Drama
28,Ace Ventura: Pet Detective (1994),2.0,Comedy
28,Forrest Gump (1994),5.0,Comedy|Drama|Romance|War
28,"Lion King, The (1994)",4.0,Adventure|Animation|Children|Drama|Musical|IMAX
28,"Mask, The (1994)",4.0,Action|Comedy|Crime|Fantasy
28,Speed (1994),4.0,Action|Romance|Thriller
28,True Lies (1994),4.0,Action|Adventure|Comedy|Romance|Thriller
28,"Fugitive, The (1993)",5.0,Thriller
28,Jurassic Park (1993),4.0,Action|Adventure|Sci-Fi|Thriller
28,Mrs. Doubtfire (1993),3.0,Comedy|Drama
28,Schindler's List (1993),4.0,Drama|War
28,Blade Runner (1982),5.0,Action|Sci-Fi|Thriller
28,Aladdin (1992),4.0,Adventure|Animation|Children|Comedy|Musical
28,Terminator 2: Judgment Day (1991),5.0,Action|Sci-Fi
28,Dances with Wolves (1990),4.0,Adventure|Drama|Western
28,Batman (1989),4.0,Action|Crime|Thriller
28,"Silence of the Lambs, The (1991)",4.0,Crime|Horror|Thriller
28,Beauty and the Beast (1991),3.0,Animation|Children|Fantasy|Musical|Romance|IMAX
28,Pretty Woman (1990),3.0,Comedy|Romance
28,Fargo (1996),5.0,Comedy|Crime|Drama|Thriller
28,Mission: Impossible (1996),4.0,Action|Adventure|Mystery|Thriller
